aircraft_ID,aircraft_model_ID,airport_ID,seat_capacity,min_num_staff_required_to_operate
1,A320,JFK,361,12
2,B737,JFK,275,15
3,A320,JFK,208,6
4,B777,HND,251,6
5,B737,DXB,374,7
6,B737,HND,223,13
7,B737,HND,350,14
8,A320,LHR,332,11
9,A380,JFK,188,11
10,B737,LHR,263,5
11,B737,LHR,221,14
12,A320,LAX,168,15
13,A380,DXB,191,6
14,A380,LHR,229,5
15,B737,LHR,375,10
16,B777,DXB,320,6
17,A320,JFK,374,8
18,A380,LHR,288,15
19,B777,LHR,382,10
20,A320,DXB,162,7
21,B777,LAX,355,11
22,B737,JFK,251,10
23,B777,LHR,319,13
24,B737,HND,262,12
25,B777,HND,394,15
26,A380,HND,335,13
27,B737,DXB,319,11
28,A380,LHR,189,10
29,B777,HND,156,6
30,A380,LHR,343,13
31,A380,LHR,326,7
32,A380,LHR,197,7
33,A380,DXB,223,10
34,B777,HND,164,10
35,A380,LHR,160,14
36,B777,LAX,309,5
37,B737,DXB,271,7
38,B737,DXB,179,11
39,B737,JFK,261,11
40,A380,JFK,397,11
