aircraft_model_ID,type,year_of_manufacture,configuration,manufacturer_name
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
A320,Narrow-body,2005,Economy,Airbus
B737,Narrow-body,2010,Economy,Boeing
A380,Wide-body,2015,Mixed,Airbus
B777,Wide-body,2012,Business,Boeing
