booking_ID,customer_ID,flight_ID,booking_date_time,payment_status,price,seat_number,cust_checked_in,cust_boarded
1,56,15,2023-08-12 21:33:49,FALSE,1449.03,19C,TRUE,FALSE
2,8,32,2023-05-12 23:02:16,FALSE,501.91,12A,FALSE,TRUE
3,42,35,2023-11-12 18:26:58,TRUE,627.84,5C,FALSE,FALSE
4,67,13,2023-05-12 04:52:51,FALSE,381.91,28A,FALSE,TRUE
5,61,15,2023-14-12 16:55:20,FALSE,1268.95,20A,TRUE,TRUE
6,44,3,2023-07-12 17:25:47,TRUE,856.89,19D,TRUE,FALSE
7,84,11,2023-12-12 13:12:28,FALSE,226.3,23A,FALSE,TRUE
8,90,38,2023-25-12 01:46:08,FALSE,1242.91,18C,FALSE,FALSE
9,35,34,2023-16-12 15:01:12,FALSE,997.33,17B,FALSE,FALSE
10,54,34,2023-24-12 22:45:04,TRUE,1303.75,29B,TRUE,TRUE
11,100,34,2023-08-12 12:51:11,FALSE,827.96,30D,TRUE,FALSE
12,37,25,2023-14-12 13:09:47,TRUE,772.56,2C,TRUE,TRUE
13,44,26,2023-05-12 13:26:52,TRUE,1239.89,6B,TRUE,TRUE
14,14,9,2023-26-12 08:16:48,TRUE,178.62,11C,TRUE,TRUE
15,21,38,2023-05-12 13:04:20,TRUE,1221.62,1D,FALSE,TRUE
16,70,25,2023-08-12 07:52:40,FALSE,895.95,22A,FALSE,TRUE
17,70,2,2023-24-12 02:30:35,TRUE,276.35,25D,TRUE,FALSE
18,18,21,2023-10-12 08:04:47,FALSE,1229.76,16C,FALSE,TRUE
19,48,20,2023-20-12 06:34:16,TRUE,106.1,21C,TRUE,TRUE
20,61,8,2023-05-12 00:37:17,TRUE,448.27,7B,TRUE,FALSE
21,34,3,2023-29-12 21:18:16,FALSE,1434.99,23D,FALSE,TRUE
22,97,8,2023-24-12 23:17:59,FALSE,840.42,13D,FALSE,TRUE
23,8,34,2023-29-12 08:50:31,TRUE,1272.18,30C,TRUE,FALSE
24,50,33,2023-13-12 11:55:04,FALSE,251.53,21D,TRUE,TRUE
25,8,1,2023-22-12 23:21:28,TRUE,1464.35,26B,FALSE,FALSE
26,62,15,2023-25-12 14:33:03,TRUE,675.91,5D,FALSE,TRUE
27,64,17,2023-14-12 07:25:50,TRUE,1475.69,20C,TRUE,TRUE
28,91,20,2023-28-12 11:15:50,TRUE,1492.03,26B,TRUE,TRUE
29,51,6,2023-10-12 19:03:14,TRUE,169.73,7A,FALSE,TRUE
30,72,28,2023-11-12 08:55:46,TRUE,550.02,23A,TRUE,FALSE
31,30,22,2023-11-12 06:29:03,TRUE,732.1,20D,FALSE,TRUE
32,98,20,2023-08-12 21:27:35,FALSE,235.82,13D,FALSE,FALSE
33,73,3,2023-15-12 10:06:40,TRUE,1158.13,4A,FALSE,TRUE
34,39,25,2023-15-12 04:19:06,FALSE,963.19,15B,FALSE,TRUE
35,82,36,2023-24-12 03:32:12,FALSE,635.82,21A,FALSE,FALSE
36,99,21,2023-14-12 10:17:20,TRUE,500.43,14C,TRUE,TRUE
37,8,27,2023-21-12 02:23:25,TRUE,755.58,19D,TRUE,TRUE
38,66,16,2023-05-12 04:42:20,TRUE,294.71,9C,TRUE,TRUE
39,47,23,2023-16-12 08:54:07,TRUE,1498.9,8D,FALSE,FALSE
40,83,8,2023-31-12 16:13:37,TRUE,529.31,11A,FALSE,TRUE
