staff_ID,flight_ID,flight_role
5,15,Cabin Crew
29,20,Captain
2,2,First Officer
8,11,First Officer
1,13,First Officer
34,10,Captain
19,8,First Officer
23,12,First Officer
21,20,Captain
18,2,Cabin Crew
15,15,Captain
8,22,Captain
4,37,Cabin Crew
10,23,Cabin Crew
4,38,First Officer
39,23,First Officer
18,19,Cabin Crew
11,24,Captain
13,14,Cabin Crew
6,10,Captain
27,11,Captain
2,12,Cabin Crew
9,28,First Officer
35,29,Captain
6,36,Cabin Crew
18,31,First Officer
16,39,Captain
3,23,First Officer
11,33,Captain
20,12,First Officer
2,31,First Officer
11,30,Cabin Crew
23,6,Captain
11,25,Captain
17,40,Captain
3,13,First Officer
23,33,Cabin Crew
6,32,Captain
9,28,First Officer
19,20,Captain
