airport_ID,name,address
ATL,Hartsfield-Jackson Atlanta International,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA"
PEK,Beijing Capital International,"Chaoyang, Beijing, China, 100621"
LHR,London Heathrow,"Longford TW6, United Kingdom"
DXB,Dubai International,Dubai - United Arab Emirates
HND,Tokyo Haneda,"Hanedakuko, Ota City, Tokyo 144-0041, Japan"
ORD,O'Hare International,"10000 W O'Hare Ave, Chicago, IL 60666, USA"
LAX,Los Angeles International,"1 World Way, Los Angeles, CA 90045, USA"
CDG,Charles de Gaulle,"95700 Roissy-en-France, France"
DFW,Dallas/Fort Worth International,"2400 Aviation Dr, DFW Airport, TX 75261, USA"
FRA,Frankfurt am Main,"60547 Frankfurt, Germany"
IST,Istanbul Airport,"Istanbul, Turkey"
CAN,Guangzhou Baiyun International,"Baiyun, Guangzhou, Guangdong Province, China"
JFK,John F. Kennedy International,"Queens, NY 11430, USA"
SIN,Singapore Changi,"Airport Blvd, Singapore"
AMS,Amsterdam Schiphol,"1118 CP Schiphol, Netherlands"
ICN,Incheon International,"272 Gonghang-ro, Jung-gu, Incheon, South Korea"
DEN,Denver International,"8500 Peña Blvd, Denver, CO 80249, USA"
BKK,Suvarnabhumi Airport,"999 Bang Na-Trat Rd, Racha Thewa, Bang Phli District, Samut Prakan 10540, Thailand"
SFO,San Francisco International,"San Francisco, CA 94128, USA"
LAS,Harry Reid International,"5757 Wayne Newton Blvd, Las Vegas, NV 89119, USA"
SEA,Seattle-Tacoma International,"17801 International Blvd, SeaTac, WA 98158, USA"
MIA,Miami International,"2100 NW 42nd Ave, Miami, FL 33126, USA"
PHX,Phoenix Sky Harbor International,"3400 E Sky Harbor Blvd, Phoenix, AZ 85034, USA"
HKG,Hong Kong International,"1 Sky Plaza Rd, Chek Lap Kok, Hong Kong"
YYZ,Toronto Pearson International,"6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada"
MUC,Munich Airport,"Nordallee 25, 85356 München, Germany"
GRU,São Paulo/Guarulhos–Governador André Franco Montoro,"Rod. Hélio Smidt, s/n - Cumbica, Guarulhos - SP, 07190-100, Brazil"
SYD,Sydney Kingsford Smith,"Sydney NSW 2020, Australia"
BCN,Barcelona-El Prat,"08820 El Prat de Llobregat, Barcelona, Spain"
LGW,London Gatwick,"Horley, Gatwick RH6 0NP, United Kingdom"
BOM,Chhatrapati Shivaji Maharaj International,"Mumbai, Maharashtra 400099, India"
KUL,Kuala Lumpur International,"64000 Sepang, Selangor, Malaysia"
SVO,Sheremetyevo International,"Khimki, Moscow Oblast, Russia, 141400"
EWR,Newark Liberty International,"3 Brewster Rd, Newark, NJ 07114, USA"
ORD2,Chicago Midway International,"5700 S Cicero Ave, Chicago, IL 60638, USA"
NRT,Narita International,"1-1 Furugome, Narita, Chiba 282-0004, Japan"
IAH,George Bush Intercontinental,"2800 N Terminal Rd, Houston, TX 77032, USA"
MSP,Minneapolis-Saint Paul International,"4300 Glumack Dr, St Paul, MN 55111, USA"
DEL,Indira Gandhi International,"New Delhi, Delhi 110037, India"
CPT,Cape Town International,"Matroosfontein, Cape Town, 7490, South Africa"
