event_ID,aircraft_ID,airport_ID,work_type,work_detail,event_date_time
1,9,JFK,Inspection,Two public knowledge.,
2,1,DXB,Overhaul,Make natural prevent but.,
3,38,HND,Repair,Western administration easy everyone stuff us enough.,
4,10,DXB,Overhaul,Over its story who friend.,
5,9,HND,Inspection,Three time involve major pick.,
6,11,LAX,Repair,Wrong leader standard business yes he.,
7,31,LAX,Inspection,Administration director defense report.,
8,18,LHR,Repair,Cold natural middle skin beyond success.,
9,3,DXB,Repair,Will defense better apply trouble quite.,
10,7,LHR,Overhaul,President lot relate task eat fast.,
11,18,LAX,Overhaul,Statement skill industry walk industry.,
12,27,LHR,Repair,Number yeah until middle stay level.,
13,7,DXB,Repair,Traditional first raise teach.,
14,36,HND,Inspection,Fall television series magazine least ready.,
15,37,LHR,Overhaul,Health red trouble give best trial.,
16,6,LHR,Overhaul,Market everybody ever process design alone.,
17,4,JFK,Inspection,Machine up laugh modern pretty.,
18,2,DXB,Overhaul,Thing collection great measure mouth right.,
19,27,LHR,Repair,Hold enter table ok.,
20,12,LAX,Inspection,Skin let employee something provide.,
21,12,HND,Inspection,Smile south factor produce.,
22,5,LHR,Inspection,Free them whose house own hospital.,
23,27,LHR,Overhaul,Top after thing movie up.,
24,3,JFK,Repair,We affect official certain whole.,
25,23,HND,Repair,Officer then skill.,
26,36,HND,Overhaul,Consumer seem speak visit.,
27,27,LAX,Repair,Color nothing quality budget later.,
28,25,LAX,Overhaul,Staff machine discuss carry which.,
29,15,DXB,Overhaul,Open recent body mission draw air issue.,
30,21,DXB,Inspection,Inside laugh wrong street.,
31,38,HND,Repair,Task late thus.,
32,13,DXB,Overhaul,Teach agree mind require develop.,
33,8,HND,Inspection,Team too employee hope public.,
34,4,DXB,Inspection,Establish weight number.,
35,34,JFK,Inspection,Other company site young discuss once.,
36,23,HND,Repair,Former computer model week.,
37,32,LAX,Repair,Add tonight I sister camera.,
38,4,JFK,Repair,Factor event at interesting glass participant factor.,
39,2,LAX,Repair,Box our just action.,
40,23,DXB,Repair,According apply politics learn wind their.,
