INSERT INTO airline_7_with_fks.flights VALUES
(1, 'DXB', 'LHR', 1, 'FN001', '2024-06-22 13:54:36', '2024-10-12 01:49:53'),
(2, 'DXB', 'LHR', 29, 'FN002', '2024-09-20 23:49:57', '2024-01-24 04:53:15'),
(3, 'JFK', 'JFK', 21, 'FN003', '2024-01-24 13:45:47', '2024-06-11 19:49:00'),
(4, 'LAX', 'JFK', 22, 'FN004', '2024-06-01 16:47:40', '2024-01-28 18:09:11'),
(5, 'LHR', 'DXB', 7, 'FN005', '2024-11-19 13:11:16', '2024-04-09 00:17:14'),
(6, 'DXB', 'JFK', 21, 'FN006', '2024-12-20 07:36:36', '2024-04-20 08:02:30'),
(7, 'HND', 'LHR', 38, 'FN007', '2024-12-14 19:19:13', '2024-07-14 01:30:51'),
(8, 'DXB', 'LAX', 2, 'FN008', '2024-02-11 01:17:31', '2024-02-19 13:46:29'),
(9, 'HND', 'LAX', 19, 'FN009', '2024-07-09 16:19:07', '2024-10-05 14:06:18'),
(10, 'JFK', 'DXB', 21, 'FN010', '2024-09-29 02:14:11', '2024-01-31 17:00:59'),
(11, 'LAX', 'HND', 6, 'FN011', '2024-03-08 04:25:50', '2024-11-25 19:22:50'),
(12, 'LAX', 'DXB', 22, 'FN012', '2024-12-12 01:21:48', '2024-02-18 17:28:42'),
(13, 'HND', 'JFK', 34, 'FN013', '2024-08-30 00:03:26', '2024-11-24 07:04:40'),
(14, 'DXB', 'LAX', 14, 'FN014', '2024-11-29 11:22:12', '2024-04-13 01:23:22'),
(15, 'DXB', 'LHR', 29, 'FN015', '2024-02-20 20:31:20', '2024-11-28 14:47:48'),
(16, 'LAX', 'DXB', 38, 'FN016', '2024-04-12 01:00:07', '2024-09-27 16:16:40'),
(17, 'HND', 'JFK', 6, 'FN017', '2024-04-10 01:39:35', '2024-07-29 20:50:28'),
(18, 'HND', 'DXB', 21, 'FN018', '2024-04-30 18:14:30', '2024-02-25 16:08:55'),
(19, 'JFK', 'LAX', 21, 'FN019', '2024-10-01 15:30:28', '2024-10-29 23:37:56'),
(20, 'LAX', 'JFK', 20, 'FN020', '2024-02-12 05:18:13', '2024-03-22 07:42:18'),
(21, 'HND', 'DXB', 30, 'FN021', '2024-02-06 23:46:05', '2024-03-19 03:08:57'),
(22, 'DXB', 'LHR', 9, 'FN022', '2024-03-13 13:37:50', '2024-08-08 14:28:14'),
(23, 'DXB', 'LHR', 7, 'FN023', '2024-02-10 07:32:22', '2024-04-14 13:17:32'),
(24, 'DXB', 'LAX', 14, 'FN024', '2024-04-15 20:07:21', '2024-11-10 18:05:50'),
(25, 'HND', 'JFK', 14, 'FN025', '2024-05-22 05:32:49', '2024-03-14 04:16:29'),
(26, 'LHR', 'JFK', 10, 'FN026', '2024-11-05 11:08:46', '2024-11-05 10:08:21'),
(27, 'JFK', 'LHR', 1, 'FN027', '2024-02-12 01:27:57', '2024-01-06 19:29:22'),
(28, 'LHR', 'JFK', 19, 'FN028', '2024-04-09 14:30:15', '2024-04-04 22:36:51'),
(29, 'LHR', 'DXB', 17, 'FN029', '2024-01-19 17:18:24', '2024-05-05 05:33:47'),
(30, 'DXB', 'HND', 30, 'FN030', '2024-03-10 13:12:23', '2024-03-11 06:06:03'),
(31, 'HND', 'LAX', 19, 'FN031', '2024-10-11 10:40:26', '2024-10-08 14:22:27'),
(32, 'JFK', 'LHR', 38, 'FN032', '2024-03-25 07:36:16', '2024-04-25 00:30:06'),
(33, 'LHR', 'DXB', 31, 'FN033', '2024-06-07 18:40:44', '2024-04-17 19:46:47'),
(34, 'HND', 'DXB', 20, 'FN034', '2024-04-09 11:32:35', '2024-08-23 02:36:45'),
(35, 'DXB', 'JFK', 33, 'FN035', '2024-02-15 02:54:47', '2024-09-10 07:29:01'),
