INSERT INTO airline_7_with_fks.maintenance VALUES
(1, 9, 'LHR', 'Inspection', 'Two public knowledge.', '2023-12-17 10:33:49'),
(2, 1, 'HND', 'Overhaul', 'Make natural prevent but.', '2023-12-14 12:15:30'),
(3, 38, 'HND', 'Repair', 'Western administration easy everyone stuff us enough.', '2023-12-05 14:20:11'),
(4, 10, 'HND', 'Overhaul', 'Over its story who friend.', '2023-12-03 08:55:22'),
(5, 9, 'LHR', 'Inspection', 'Three time involve major pick.', '2023-12-17 11:23:44'),
(6, 11, 'HND', 'Repair', 'Wrong leader standard business yes he.', '2023-12-10 19:01:02'),
(7, 31, 'LAX', 'Inspection', 'Administration director defense report.', '2023-12-18 16:22:34'),
(8, 18, 'HND', 'Repair', 'Cold natural middle skin beyond success.', '2023-12-23 14:10:50'),
(9, 3, 'HND', 'Repair', 'Will defense better apply trouble quite.', '2023-12-20 08:14:17'),
(10, 7, 'LAX', 'Overhaul', 'President lot relate task eat fast.', '2023-12-21 09:22:30'),
(11, 18, 'LHR', 'Overhaul', 'Statement skill industry walk industry.', '2023-12-02 18:25:03'),
(12, 27, 'HND', 'Repair', 'Number yeah until middle stay level.', '2023-12-26 13:33:10'),
(13, 7, 'HND', 'Repair', 'Traditional first raise teach.', '2023-12-27 15:07:48'),
(14, 36, 'LHR', 'Inspection', 'Fall television series magazine least ready.', '2023-12-14 07:58:32'),
(15, 37, 'HND', 'Overhaul', 'Health red trouble give best trial.', '2023-12-12 12:44:19'),
(16, 6, 'HND', 'Overhaul', 'Market everybody ever process design alone.', '2023-12-22 08:18:24'),
(17, 4, 'JFK', 'Inspection', 'Machine up laugh modern pretty.', '2023-12-25 11:32:55'),
(18, 2, 'LAX', 'Overhaul', 'Thing collection great measure mouth right.', '2023-12-18 07:20:02'),
(19, 27, 'HND', 'Repair', 'Hold enter table ok.', '2023-12-09 14:11:45'),
(20, 12, 'LAX', 'Inspection', 'Skin let employee something provide.', '2023-12-17 18:01:19'),
(21, 12, 'HND', 'Inspection', 'Smile south factor produce.', '2023-12-16 15:12:50'),
(22, 5, 'LHR', 'Inspection', 'Free them whose house own hospital.', '2023-12-22 16:50:12'),
(23, 27, 'HND', 'Overhaul', 'Top after thing movie up.', '2023-12-03 09:42:03'),
(24, 3, 'JFK', 'Repair', 'We affect official certain whole.', '2023-12-15 14:38:27'),
(25, 23, 'HND', 'Repair', 'Officer then skill.', '2023-12-28 16:58:46'),
(26, 36, 'HND', 'Overhaul', 'Consumer seem speak visit.', '2023-12-19 13:14:52'),
(27, 27, 'LHR', 'Repair', 'Color nothing quality budget later.', '2023-12-20 12:21:12'),
(28, 25, 'LAX', 'Overhaul', 'Staff machine discuss carry which.', '2023-12-27 10:43:59'),
(29, 15, 'HND', 'Overhaul', 'Open recent body mission draw air issue.', '2023-12-21 11:55:31'),
(30, 21, 'LHR', 'Inspection', 'Inside laugh wrong street.', '2023-12-14 17:03:10'),
(31, 38, 'HND', 'Repair', 'Task late thus.', '2023-12-23 16:28:44'),
(32, 13, 'HND', 'Overhaul', 'Teach agree mind require develop.', '2023-12-10 07:11:11'),
(33, 8, 'LHR', 'Inspection', 'Team too employee hope public.', '2023-12-04 09:09:27'),
(34, 4, 'HND', 'Inspection', 'Establish weight number.', '2023-12-18 16:52:36'),
(35, 34, 'LAX', 'Inspection', 'Other company site young discuss once.', '2023-12-09 18:14:11'),
(36, 23, 'HND', 'Repair', 'Former computer model week.', '2023-12-28 12:42:40'),
(37, 32, 'HND', 'Repair', 'Add tonight I sister camera.', '2023-12-12 08:09:29'),
(38, 4, 'HND', 'Repair', 'Factor event at interesting glass participant factor.', '2023-12-25 19:13:15'),
(39, 2, 'LHR', 'Repair', 'Box our just action.', '2023-12-17 13:38:07'),
(40, 23, 'HND', 'Repair', 'According apply politics learn wind their.', '2023-12-03 11:42:56'),
(41, 9, 'LHR', 'Inspection', 'Scheduled check on engine performance.', '2023-12-20 14:17:05'),
(42, 9, 'HND', 'Repair', 'Fix issues with hydraulic system.', '2023-12-14 10:25:30'),
(43, 7, 'HND', 'Overhaul', 'Full maintenance of avionics system.', '2023-12-21 09:37:22'),
(44, 7, 'HND', 'Inspection', 'Inspect airframe and wings for stress cracks.', '2023-12-18 13:55:02'),
(45, 6, 'JFK', 'Repair', 'Repair damage to fuselage.', '2023-12-23 11:11:44'),
(46, 6, 'HND', 'Overhaul', 'Replace fuel system components.', '2023-12-15 10:02:33');
