booking_ID	booking_date_time	payment_status	price	seat_number	cust_checked_in	cust_boarded
1	15/12/2024 10:00	FALSE	1449.03	19C	TRUE	FALSE
2	05/12/2023 23:02	FALSE	501.91	12A	FALSE	TRUE
3	11/12/2023 18:26	TRUE	627.84	5C	FALSE	FALSE
4	05/12/2023 04:52	FALSE	381.91	28A	FALSE	TRUE
5	14/12/2023 16:55	FALSE	1268.95	20A	TRUE	TRUE
6	07/12/2023 17:25	TRUE	856.89	19D	TRUE	FALSE
7	12/12/2023 13:12	FALSE	226.3	23A	FALSE	TRUE
8	25/12/2023 01:46	FALSE	1242.91	18C	FALSE	FALSE
9	16/12/2023 15:01	FALSE	997.33	17B	FALSE	FALSE
10	24/12/2023 22:45	TRUE	1303.75	29B	TRUE	TRUE
11	08/12/2023 12:51	FALSE	827.96	30D	TRUE	FALSE
12	14/12/2023 13:09	TRUE	772.56	2C	TRUE	TRUE
13	05/12/2023 13:26	TRUE	1239.89	6B	TRUE	TRUE
14	26/12/2023 08:16	TRUE	178.62	11C	TRUE	TRUE
15	05/12/2023 13:04	TRUE	1221.62	1D	FALSE	TRUE
16	08/12/2023 07:52	FALSE	895.95	22A	FALSE	TRUE
17	24/12/2023 02:30	TRUE	276.35	25D	TRUE	FALSE
18	10/12/2023 08:04	FALSE	1229.76	16C	FALSE	TRUE
19	20/12/2023 06:34	TRUE	106.1	21C	TRUE	TRUE
20	05/12/2023 00:37	TRUE	448.27	7B	TRUE	FALSE
21	29/12/2023 21:18	FALSE	1434.99	23D	FALSE	TRUE
22	24/12/2023 23:17	FALSE	840.42	13D	FALSE	TRUE
23	29/12/2023 08:50	TRUE	1272.18	30C	TRUE	FALSE
24	13/12/2023 11:55	FALSE	251.53	21D	TRUE	TRUE
25	22/12/2023 23:21	TRUE	1464.35	26B	FALSE	FALSE
26	25/12/2023 14:33	TRUE	675.91	5D	FALSE	TRUE
27	14/12/2023 07:25	TRUE	1475.69	20C	TRUE	TRUE
28	28/12/2023 11:15	TRUE	1492.03	26B	TRUE	TRUE
29	10/12/2023 19:03	TRUE	169.73	7A	FALSE	TRUE
30	11/12/2023 08:55	TRUE	550.02	23A	TRUE	FALSE
31	11/12/2023 06:29	TRUE	732.1	20D	FALSE	TRUE
32	08/12/2023 21:27	FALSE	235.82	13D	FALSE	FALSE
33	15/12/2023 10:06	TRUE	1158.13	4A	FALSE	TRUE
34	15/12/2023 04:19	FALSE	963.19	15B	FALSE	TRUE
35	24/12/2023 03:32	FALSE	635.82	21A	FALSE	FALSE
36	14/12/2023 10:17	TRUE	500.43	14C	TRUE	TRUE
37	21/12/2023 02:23	TRUE	755.58	19D	TRUE	TRUE
38	05/12/2023 04:42	TRUE	294.71	9C	TRUE	TRUE
39	16/12/2023 08:54	TRUE	1498.9	8D	FALSE	FALSE
40	31/12/2023 16:13	TRUE	529.31	11A	FALSE	TRUE
