INSERT INTO Aircraft_Model VALUES
('101_A320', 'Airbus A320', 2015, 'Narrow-body, Single-aisle', 'Airbus'),
('102_B737', 'Boeing 737', 2018, 'Narrow-body, Single-aisle', 'Boeing'),
('103_A350', 'Airbus A350', 2020, 'Wide-body, Twin-aisle', 'Airbus'),
('104_B787', 'Boeing 787', 2021, 'Wide-body, Twin-aisle', 'Boeing'),
('105_A380', 'Airbus A380', 2019, 'Wide-body, Four-engine', 'Airbus'),
('106_B767', 'Boeing 767', 2014, 'Wide-body, Twin-engine', 'Boeing'),
('107_E175', 'Embraer E175', 2017, 'Regional Jet, Single-aisle', 'Embraer'),
('108_CRJ200', 'Bombardier CRJ200', 2016, 'Regional Jet, Single-aisle', 'Bombardier'),
('109_B747', 'Boeing 747', 2007, 'Wide-body, Four-engine', 'Boeing'),
('110_A330', 'Airbus A330', 2013, 'Wide-body, Twin-engine', 'Airbus'),
('111_B737 MAX', 'Boeing 737 MAX', 2022, 'Narrow-body, Single-aisle', 'Boeing'),
('112_A321', 'Airbus A321', 2014, 'Narrow-body, Single-aisle', 'Airbus'),
('113_B757', 'Boeing 757', 2015, 'Wide-body, Twin-engine', 'Boeing'),
('114_A310', 'Airbus A310', 2012, 'Wide-body, Twin-engine', 'Airbus'),
('115_B777', 'Boeing 777', 2018, 'Wide-body, Twin-engine', 'Boeing'),
('116_A220', 'Airbus A220', 2021, 'Regional Jet, Single-aisle', 'Airbus'),
('117_E190', 'Embraer E190', 2019, 'Regional Jet, Single-aisle', 'Embraer'),
('118_B737NG', 'Boeing 737 NG', 2016, 'Narrow-body, Single-aisle', 'Boeing'),
('119_A350-1000', 'Airbus A350-1000', 2022, 'Wide-body, Twin-aisle', 'Airbus');
