flight_ID,flight_number,dep_date_time,arr_date_time
1,FN001,2024-06-22 13:54:36,2024-10-12 01:49:53
2,FN002,2024-09-20 23:49:57,2024-01-24 04:53:15
3,FN003,2024-01-24 13:45:47,2024-06-11 19:49:00
4,FN004,2024-06-01 16:47:40,2024-01-28 18:09:11
5,FN005,2024-11-19 13:11:16,2024-04-09 00:17:14
6,FN006,2024-12-20 07:36:36,2024-04-20 08:02:30
7,FN007,2024-12-14 19:19:13,2024-07-14 01:30:51
8,FN008,2024-02-11 01:17:31,2024-02-19 13:46:29
9,FN009,2024-07-09 16:19:07,2024-10-05 14:06:18
10,FN010,2024-09-29 02:14:11,2024-01-31 17:00:59
11,FN011,2024-03-08 04:25:50,2024-11-25 19:22:50
12,FN012,2024-12-12 01:21:48,2024-02-18 17:28:42
13,FN013,2024-08-30 00:03:26,2024-11-24 07:04:40
14,FN014,2024-11-29 11:22:12,2024-04-13 01:23:22
15,FN015,2024-02-20 20:31:20,2024-11-28 14:47:48
16,FN016,2024-04-12 01:00:07,2024-09-27 16:16:40
17,FN017,2024-04-10 01:39:35,2024-07-29 20:50:28
18,FN018,2024-04-30 18:14:30,2024-02-25 16:08:55
19,FN019,2024-10-01 15:30:28,2024-10-29 23:37:56
20,FN020,2024-02-12 05:18:13,2024-03-22 07:42:18
21,FN021,2024-02-06 23:46:05,2024-03-19 03:08:57
22,FN022,2024-03-13 13:37:50,2024-08-08 14:28:14
23,FN023,2024-02-10 07:32:22,2024-04-14 13:17:32
24,FN024,2024-04-15 20:07:21,2024-11-10 18:05:50
25,FN025,2024-05-22 05:32:49,2024-03-14 04:16:29
26,FN026,2024-11-05 11:08:46,2024-11-05 10:08:21
27,FN027,2024-02-12 01:27:57,2024-01-06 19:29:22
28,FN028,2024-04-09 14:30:15,2024-04-04 22:36:51
29,FN029,2024-01-19 17:18:24,2024-05-05 05:33:47
30,FN030,2024-03-10 13:12:23,2024-03-11 06:06:03
31,FN031,2024-10-11 10:40:26,2024-10-08 14:22:27
32,FN032,2024-03-25 07:36:16,2024-04-25 00:30:06
33,FN033,2024-06-07 18:40:44,2024-04-17 19:46:47
34,FN034,2024-04-09 11:32:35,2024-08-23 02:36:45
35,FN035,2024-02-15 02:54:47,2024-09-10 07:29:01
36,FN036,2024-12-30 12:33:36,2024-04-04 23:38:52
37,FN037,2024-10-21 14:37:43,2024-08-09 07:16:52
38,FN038,2024-11-29 12:35:57,2024-10-07 20:45:56
39,FN039,2024-12-25 07:44:33,2024-07-05 12:08:13
40,FN040,2024-12-09 04:15:08,2024-10-11 06:17:12
