airport_ID,name,address
AP001,Airport 1,"1 Airport Rd, City 1, Country 1"
AP002,Airport 2,"2 Airport Rd, City 2, Country 2"
AP003,Airport 3,"3 Airport Rd, City 3, Country 3"
AP004,Airport 4,"4 Airport Rd, City 4, Country 4"
AP005,Airport 5,"5 Airport Rd, City 5, Country 5"
AP006,Airport 6,"6 Airport Rd, City 6, Country 6"
AP007,Airport 7,"7 Airport Rd, City 7, Country 7"
AP008,Airport 8,"8 Airport Rd, City 8, Country 8"
AP009,Airport 9,"9 Airport Rd, City 9, Country 9"
AP010,Airport 10,"10 Airport Rd, City 10, Country 0"
AP011,Airport 11,"11 Airport Rd, City 11, Country 1"
AP012,Airport 12,"12 Airport Rd, City 12, Country 2"
AP013,Airport 13,"13 Airport Rd, City 13, Country 3"
AP014,Airport 14,"14 Airport Rd, City 14, Country 4"
AP015,Airport 15,"15 Airport Rd, City 15, Country 5"
AP016,Airport 16,"16 Airport Rd, City 16, Country 6"
AP017,Airport 17,"17 Airport Rd, City 17, Country 7"
AP018,Airport 18,"18 Airport Rd, City 18, Country 8"
AP019,Airport 19,"19 Airport Rd, City 19, Country 9"
AP020,Airport 20,"20 Airport Rd, City 20, Country 0"
AP021,Airport 21,"21 Airport Rd, City 21, Country 1"
AP022,Airport 22,"22 Airport Rd, City 22, Country 2"
AP023,Airport 23,"23 Airport Rd, City 23, Country 3"
AP024,Airport 24,"24 Airport Rd, City 24, Country 4"
AP025,Airport 25,"25 Airport Rd, City 25, Country 5"
AP026,Airport 26,"26 Airport Rd, City 26, Country 6"
AP027,Airport 27,"27 Airport Rd, City 27, Country 7"
AP028,Airport 28,"28 Airport Rd, City 28, Country 8"
AP029,Airport 29,"29 Airport Rd, City 29, Country 9"
AP030,Airport 30,"30 Airport Rd, City 30, Country 0"
AP031,Airport 31,"31 Airport Rd, City 31, Country 1"
AP032,Airport 32,"32 Airport Rd, City 32, Country 2"
AP033,Airport 33,"33 Airport Rd, City 33, Country 3"
AP034,Airport 34,"34 Airport Rd, City 34, Country 4"
AP035,Airport 35,"35 Airport Rd, City 35, Country 5"
AP036,Airport 36,"36 Airport Rd, City 36, Country 6"
AP037,Airport 37,"37 Airport Rd, City 37, Country 7"
AP038,Airport 38,"38 Airport Rd, City 38, Country 8"
AP039,Airport 39,"39 Airport Rd, City 39, Country 9"
AP040,Airport 40,"40 Airport Rd, City 40, Country 0"
