ISBN,Title,Author ID,Publisher ID,Price
23-5432,Data Analytics,3,1, € 45.00 
23-5433,Data for beginners,43,2, € 45.00 
23-5434,Data Wrangling,7,2, € 32.00 
23-5435,Data and marketing,52,5, € 65.00 
43-2345,Data Visualisation,3,1, € 34.00 
22-3932,Smart marketing,52,5, € 43.00 
22-3933,Irish data centers,43,2, € 44.00 
43-2145,AI for beginners,12,5, € 64.00 
22-3938,Dublin art,3,2, € 80.00 
45-2145,Machine learning,43,1, € 78.00 
45-2146,Advanced Data Visualisation,52,1, € 25.00 
45-2147,Working with Data,7,2, € 26.00 
