address_id,address,district,postal_code
1,47 MySakila Drive,Alberta,
2,28 MySQL Boulevard,QLD,
3,23 Workhaven Lane,Alberta,
4,1411 Lillydale Drive,QLD,
5,1913 Hanoi Way,Nagasaki,35200
6,1121 Loja Avenue,California,17886
7,692 Joliet Street,Attika,83579
8,1566 Inegl Manor,Mandalay,53561
9,53 Idfu Parkway,Nantou,42399
10,1795 Santiago de Compostela Way,Texas,18743
11,900 Santiago de Compostela Parkway,Central Serbia,93896
12,478 Joliet Way,Hamilton,77948
13,613 Korolev Drive,Masqat,45844
14,1531 Sal Drive,Esfahan,53628
15,1542 Tarlac Parkway,Kanagawa,1027
16,808 Bhopal Manor,Haryana,10672
17,270 Amroha Parkway,Osmaniye,29610
18,770 Bydgoszcz Avenue,California,16266
19,419 Iligan Lane,Madhya Pradesh,72878
20,360 Toulouse Parkway,England,54308
21,270 Toulon Boulevard,Kalmykia,81766
22,320 Brest Avenue,Kaduna,43331
23,1417 Lancaster Avenue,Northern Cape,72192
24,1688 Okara Way,Nothwest Border Prov,21954
25,262 A Corua (La Corua) Parkway,Dhaka,34418
26,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,37551
27,1780 Hino Boulevard,Liepaja,7716
28,96 Tafuna Way,Crdoba,99865
29,934 San Felipe de Puerto Plata Street,Sind,99780
30,18 Duisburg Boulevard,,58327
31,217 Botshabelo Place,Southern Mindanao,49521
32,1425 Shikarpur Manor,Bihar,65599
33,786 Aurora Avenue,Yamaguchi,65750
34,1668 Anpolis Street,Taipei,50199
35,33 Gorontalo Way,West Bengali,30348
36,176 Mandaluyong Place,Uttar Pradesh,65213
37,127 Purnea (Purnia) Manor,Piemonte,79388
38,61 Tama Street,Okayama,94065
39,391 Callao Drive,Midi-Pyrnes,34021
40,334 Munger (Monghyr) Lane,Markazi,38145
41,1440 Fukuyama Loop,Henan,47929
42,269 Cam Ranh Parkway,Chisinau,34689
43,306 Antofagasta Place,Esprito Santo,3989
44,671 Graz Street,Oriental,94399
45,42 Brindisi Place,Yerevan,16744
46,1632 Bislig Avenue,Nonthaburi,61117
47,1447 Imus Way,Tahiti,48942
48,1998 Halifax Drive,Lipetsk,76022
49,1718 Valencia Street,Antofagasta,37359
50,46 Pjatigorsk Lane,Moscow (City),23616
51,686 Garland Manor,Cear,52535
52,909 Garland Manor,Tatarstan,69367
53,725 Isesaki Place,Mekka,74428
54,115 Hidalgo Parkway,Khartum,80168
55,1135 Izumisano Parkway,California,48150
56,939 Probolinggo Loop,Galicia,4166
57,17 Kabul Boulevard,Chiba,38594
58,1964 Allappuzha (Alleppey) Street,Yamaguchi,48980
59,1697 Kowloon and New Kowloon Loop,Moskova,57807
60,1668 Saint Louis Place,Tahiti,39072
61,943 Tokat Street,Vaduz,45428
62,1114 Liepaja Street,Sarawak,69226
63,1213 Ranchi Parkway,Karnataka,94352
64,81 Hodeida Way,Rajasthan,55561
65,915 Ponce Place,Basel-Stadt,83980
66,1717 Guadalajara Lane,Missouri,85505
67,1214 Hanoi Way,Nebraska,67055
68,1966 Amroha Avenue,Sichuan,70385
69,698 Otsu Street,Cayenne,71110
70,1150 Kimchon Manor,Skne ln,96109
71,1586 Guaruj Place,Hunan,5135
72,57 Arlington Manor,Madhya Pradesh,48960
73,1031 Daugavpils Parkway,Bchar,59025
74,1124 Buenaventura Drive,Mekka,6856
75,492 Cam Ranh Street,Eastern Visayas,50805
76,89 Allappuzha (Alleppey) Manor,National Capital Reg,75444
77,1947 Poos de Caldas Boulevard,Chiayi,60951
78,1206 Dos Quebradas Place,So Paulo,20207
79,1551 Rampur Lane,Changhwa,72394
80,602 Paarl Street,Pavlodar,98889
81,1692 Ede Loop,So Paulo,9223
82,936 Salzburg Lane,Uttar Pradesh,96709
83,586 Tete Way,Kanagawa,1079
84,1888 Kabul Drive,Oyo & Osun,20936
85,320 Baiyin Parkway,Mahajanga,37307
86,927 Baha Blanca Parkway,Krim,9495
87,929 Tallahassee Loop,Gauteng,74671
88,125 Citt del Vaticano Boulevard,Puebla,67912
89,1557 Ktahya Boulevard,England,88002
90,870 Ashqelon Loop,Songkhla,84931
91,1740 Portoviejo Avenue,Sucre,29932
92,1942 Ciparay Parkway,Cheju,82624
93,1926 El Alto Avenue,Buenos Aires,75543
94,1952 Chatsworth Drive,Guangdong,25958
95,1370 Le Mans Avenue,Brunei and Muara,52163
96,984 Effon-Alaiye Avenue,Gois,17119
97,832 Nakhon Sawan Manor,Inner Mongolia,49021
98,152 Kitwe Parkway,Caraga,53182
99,1697 Tanauan Lane,Punjab,22870
100,1308 Arecibo Way,Georgia,30695
101,1599 Plock Drive,Tete,71986
102,669 Firozabad Loop,Abu Dhabi,92265
103,588 Vila Velha Manor,Kyongsangbuk,51540
104,1913 Kamakura Place,Lipetsk,97287
105,733 Mandaluyong Place,Asir,77459
106,659 Vaduz Drive,Ha Darom,49708
107,1177 Jelets Way,Kwara & Kogi,3305
108,1386 Yangor Avenue,Provence-Alpes-Cte,80720
109,454 Nakhon Sawan Boulevard,Funafuti,76383
110,1867 San Juan Bautista Tuxtepec Avenue,Ivanovo,78311
111,1532 Dzerzinsk Way,Buenos Aires,9599
112,1002 Ahmadnagar Manor,Mxico,93026
113,682 Junan Way,North West,30418
114,804 Elista Drive,Hubei,61069
115,1378 Alvorada Avenue,Distrito Federal,75834
116,793 Cam Ranh Avenue,California,87057
117,1079 Tel Aviv-Jaffa Boulevard,Sucre,10885
118,442 Rae Bareli Place,Nordrhein-Westfalen,24321
119,1107 Nakhon Sawan Avenue,Mxico,75149
120,544 Malm Parkway,Central Java,63502
121,1967 Sincelejo Place,Gujarat,73644
122,333 Goinia Way,Texas,78625
123,1987 Coacalco de Berriozbal Loop,al-Qalyubiya,96065
124,241 Mosul Lane,Risaralda,76157
125,211 Chiayi Drive,Uttar Pradesh,58186
126,1175 Tanauan Way,Lima,64615
127,117 Boa Vista Way,Uttar Pradesh,6804
128,848 Tafuna Manor,Ktahya,45142
129,569 Baicheng Lane,Gauteng,60304
130,1666 Qomsheh Drive,So Paulo,66255
131,801 Hagonoy Drive,Smolensk,8439
132,1050 Garden Grove Avenue,Slaskie,4999
133,1854 Tieli Street,Shandong,15819
134,758 Junan Lane,Gois,82639
135,1752 So Leopoldo Parkway,Taka-Karpatia,14014
136,898 Belm Manor,Free State,49757
137,261 Saint Louis Way,Coahuila de Zaragoza,83401
138,765 Southampton Drive,al-Qalyubiya,4285
139,943 Johannesburg Avenue,Maharashtra,5892
140,788 Atinsk Street,Karnataka,81691
141,1749 Daxian Place,Gelderland,11044
142,1587 Sullana Lane,Inner Mongolia,85769
143,1029 Dzerzinsk Manor,Ynlin,57519
144,1666 Beni-Mellal Place,Tennessee,13377
145,928 Jaffna Loop,Hiroshima,93762
146,483 Ljubertsy Parkway,Scotland,60562
147,374 Bat Yam Boulevard,Kilis,97700
148,1027 Songkhla Manor,Minsk,30861
149,999 Sanaa Loop,Gauteng,3439
150,879 Newcastle Way,Michigan,90732
151,1337 Lincoln Parkway,Saitama,99457
152,1952 Pune Lane,Saint-Denis,92150
153,782 Mosul Street,Massachusetts,25545
154,781 Shimonoseki Drive,Michoacn de Ocampo,95444
155,1560 Jelets Boulevard,Shandong,77777
156,1963 Moscow Place,Assam,64863
157,456 Escobar Way,Jakarta Raya,36061
158,798 Cianjur Avenue,Shanxi,76990
159,185 Novi Sad Place,Bern,41778
