film_id,title,release_year,language_id,length,rating
1,ACADEMY DINOSAUR,2006,1,86,PG
2,ACE GOLDFINGER,2007,1,48,G
3,ADAPTATION HOLES,2008,1,50,NC-17
4,AFFAIR PREJUDICE,2009,1,117,G
5,AFRICAN EGG,2010,2,130,G
6,AGENT TRUMAN,2011,1,169,PG
7,AIRPLANE SIERRA,2012,2,62,PG-13
8,AIRPORT POLLOCK,2013,1,54,R
9,ALABAMA DEVIL,2014,3,114,PG-13
10,ALADDIN CALENDAR,2015,4,63,NC-17
11,ALAMO VIDEOTAPE,2016,1,126,G
12,ALASKA PHANTOM,2017,5,136,PG
13,ALI FOREVER,2018,3,150,PG
14,ALICE FANTASIA,2019,6,94,NC-17
15,ALIEN CENTER,2020,4,46,NC-17
16,ALLEY EVOLUTION,2006,3,180,NC-17
17,ALONE TRIP,2006,2,82,R
18,ALTER VICTORY,2006,5,57,PG-13
19,AMADEUS HOLY,2006,1,113,PG
20,AMELIE HELLFIGHTERS,2006,1,79,R
21,AMERICAN CIRCUS,2006,1,129,R
22,AMISTAD MIDSUMMER,2006,1,85,G
23,ANACONDA CONFESSIONS,2006,1,92,R
24,ANALYZE HOOSIERS,2006,1,181,R
25,ANGELS LIFE,2006,1,74,G
26,ANNIE IDENTITY,2006,1,86,G
27,ANONYMOUS HUMAN,2006,1,179,NC-17
28,ANTHEM LUKE,2006,1,91,PG-13
29,ANTITRUST TOMATOES,2006,1,168,NC-17
30,ANYTHING SAVANNAH,2006,1,82,R
31,APACHE DIVINE,2006,1,92,NC-17
32,APOCALYPSE FLAMINGOS,2006,3,119,R
33,APOLLO TEEN,2006,4,153,PG-13
34,ARABIA DOGMA,2006,1,62,NC-17
35,ARACHNOPHOBIA ROLLERCOASTER,2006,1,147,PG-13
36,ARGONAUTS TOWN,2006,1,127,PG-13
37,ARIZONA BANG,2006,5,121,PG
38,ARK RIDGEMONT,2006,1,68,NC-17
39,ARMAGEDDON LOST,2006,1,99,G
40,ARMY FLINTSTONES,2006,6,148,R
41,ARSENIC INDEPENDENCE,2006,1,137,PG
42,ARTIST COLDBLOODED,2006,1,170,NC-17
43,ATLANTIS CAUSE,2006,5,170,G
44,ATTACKS HATE,2006,1,113,PG-13
45,ATTRACTION NEWTON,2006,4,83,PG-13
46,AUTUMN CROW,2006,1,108,G
47,BABY HALL,2006,1,153,NC-17
48,BACKLASH UNDEFEATED,2006,3,118,PG-13
49,BADMAN DAWN,2006,1,162,R
50,BAKED CLEOPATRA,2006,2,182,G
51,BALLOON HOMEWARD,2006,1,75,NC-17
52,BALLROOM MOCKINGBIRD,2006,1,173,G
53,BANG KWAI,2006,1,87,NC-17
54,BANGER PINOCCHIO,2006,1,113,R
55,BARBARELLA STREETCAR,2006,1,65,G
56,BAREFOOT MANCHURIAN,2006,2,129,G
57,BASIC EASY,2006,2,90,PG-13
58,BEACH HEARTBREAKERS,2006,2,122,G
59,BEAR GRACELAND,2006,1,160,R
60,BEAST HUNCHBACK,2006,1,89,R
61,BEAUTY GREASE,2006,1,175,G
62,BED HIGHBALL,2006,1,106,NC-17
63,BEDAZZLED MARRIED,2006,1,73,PG
64,BEETHOVEN EXORCIST,2006,1,151,PG-13
65,BEHAVIOR RUNAWAY,2006,1,100,PG
66,BENEATH RUSH,2006,1,53,NC-17
67,BERETS AGENT,2006,1,77,PG-13
68,BETRAYED REAR,2006,1,122,NC-17
69,BEVERLY OUTLAW,2006,1,85,R
70,BIKINI BORROWERS,2006,1,142,NC-17
71,BILKO ANONYMOUS,2006,1,100,PG-13
72,BILL OTHERS,2006,1,93,PG
73,BINGO TALENTED,2006,1,150,PG-13
74,BIRCH ANTITRUST,2006,1,162,PG
75,BIRD INDEPENDENCE,2006,2,163,G
76,BIRDCAGE CASPER,2006,3,103,NC-17
77,BIRDS PERDITION,2006,1,61,G
78,BLACKOUT PRIVATE,2006,1,85,PG
79,BLADE POLISH,2006,4,114,PG-13
80,BLANKET BEVERLY,2006,1,148,G
81,BLINDNESS GUN,2006,1,103,PG-13
82,BLOOD ARGONAUTS,2006,5,71,G
83,BLUES INSTINCT,2006,1,50,G
84,BOILED DARES,2006,6,102,PG
85,BONNIE HOLOCAUST,2006,1,63,G
86,BOOGIE AMELIE,2006,1,121,R
87,BOONDOCK BALLROOM,2006,1,76,NC-17
88,BORN SPINAL,2006,6,179,PG
89,BORROWERS BEDAZZLED,2006,1,63,G
90,BOULEVARD MOB,2006,1,63,R
91,BOUND CHEAPER,2006,6,98,PG
92,BOWFINGER GABLES,2006,1,72,NC-17
93,BRANNIGAN SUNRISE,2006,1,121,PG
94,BRAVEHEART HUMAN,2006,6,176,PG-13
95,BREAKFAST GOLDFINGER,2006,6,123,G
96,BREAKING HOME,2006,1,169,PG-13
97,BRIDE INTRIGUE,2006,6,56,G
98,BRIGHT ENCOUNTERS,2006,5,73,PG-13
99,BRINGING HYSTERICAL,2006,1,136,PG
100,BROOKLYN DESERT,2006,5,161,R
101,BROTHERHOOD BLANKET,2006,1,73,R
